text,label
"CONGRATS! You won a $1,000 Walmart gift card. Claim your prize here: http://bit.ly/claim-walmart-giftcard",1
Don't forget to buy milk on your way home.,0
Don't forget to buy milk on your way home.,0
"Hey, are we still meeting for lunch today at 12:30?",0
I will call you back in 10 minutes.,0
Thanks for the help earlier! Really appreciate it.,0
URGENT: Your Chase bank account is suspended due to suspicious activity. Verify credentials now at http://chase-security-update.xyz/login,1
Thanks for the help earlier! Really appreciate it.,0
Your appointment with Dr. Smith is confirmed for tomorrow at 10 AM.,0
Are you coming to the team meeting at 3 PM?,0
"Dinner is ready, come downstairs.",0
Are you coming to the team meeting at 3 PM?,0
Your appointment with Dr. Smith is confirmed for tomorrow at 10 AM.,0
Your appointment with Dr. Smith is confirmed for tomorrow at 10 AM.,0
Your appointment with Dr. Smith is confirmed for tomorrow at 10 AM.,0
Don't forget to buy milk on your way home.,0
Can you send me the project report when you get a chance?,0
Thanks for the help earlier! Really appreciate it.,0
Thanks for the help earlier! Really appreciate it.,0
Can you send me the project report when you get a chance?,0
Are you coming to the team meeting at 3 PM?,0
Job Offer: Work from home and earn $500/day! No experience needed. Apply now: http://easy-money-jobs.online,1
See you tomorrow at the office!,0
Happy birthday! Hope you have a great day ahead.,0
Are you coming to the team meeting at 3 PM?,0
"Hey, are we still meeting for lunch today at 12:30?",0
Can you send me the project report when you get a chance?,0
IRS Notification: You have a pending tax refund of $850. Click here to submit your bank details: http://irs-tax-refund-portal.info,1
Thanks for the help earlier! Really appreciate it.,0
Are you coming to the team meeting at 3 PM?,0
"CONGRATS! You won a $1,000 Walmart gift card. Claim your prize here: http://bit.ly/claim-walmart-giftcard",1
Thanks for the help earlier! Really appreciate it.,0
Wells Fargo: Your online access has been limited. Please confirm your SSN and PIN at http://wellsfargo-verify-login.org,1
Don't forget to buy milk on your way home.,0
"Hey, are we still meeting for lunch today at 12:30?",0
Thanks for the help earlier! Really appreciate it.,0
"Hey, are we still meeting for lunch today at 12:30?",0
Can you send me the project report when you get a chance?,0
Thanks for the help earlier! Really appreciate it.,0
Can you send me the project report when you get a chance?,0
Don't forget to buy milk on your way home.,0
"Dinner is ready, come downstairs.",0
Don't forget to buy milk on your way home.,0
"Hey, are we still meeting for lunch today at 12:30?",0
I will call you back in 10 minutes.,0
Don't forget to buy milk on your way home.,0
URGENT: Your Chase bank account is suspended due to suspicious activity. Verify credentials now at http://chase-security-update.xyz/login,1
Are you coming to the team meeting at 3 PM?,0
Happy birthday! Hope you have a great day ahead.,0
"Hey, are we still meeting for lunch today at 12:30?",0
Don't forget to buy milk on your way home.,0
Don't forget to buy milk on your way home.,0
Can you send me the project report when you get a chance?,0
Thanks for the help earlier! Really appreciate it.,0
See you tomorrow at the office!,0
Can you send me the project report when you get a chance?,0
SECURITY WARNING: Your account was logged in from Russia. Click http://account-security-alert.xyz to lock your account.,1
Happy birthday! Hope you have a great day ahead.,0
See you tomorrow at the office!,0
I will call you back in 10 minutes.,0
Job Offer: Work from home and earn $500/day! No experience needed. Apply now: http://easy-money-jobs.online,1
Can you send me the project report when you get a chance?,0
I will call you back in 10 minutes.,0
"Hey, are we still meeting for lunch today at 12:30?",0
I will call you back in 10 minutes.,0
Happy birthday! Hope you have a great day ahead.,0
Can you send me the project report when you get a chance?,0
Happy birthday! Hope you have a great day ahead.,0
Your appointment with Dr. Smith is confirmed for tomorrow at 10 AM.,0
Are you coming to the team meeting at 3 PM?,0
ALERT: Someone tried to access your Apple ID from an unknown device. Reset password immediately: http://apple-verify-login.com,1
Can you send me the project report when you get a chance?,0
Can you send me the project report when you get a chance?,0
Don't forget to buy milk on your way home.,0
"Dinner is ready, come downstairs.",0
"Dinner is ready, come downstairs.",0
Your appointment with Dr. Smith is confirmed for tomorrow at 10 AM.,0
See you tomorrow at the office!,0
Thanks for the help earlier! Really appreciate it.,0
Your appointment with Dr. Smith is confirmed for tomorrow at 10 AM.,0
Your appointment with Dr. Smith is confirmed for tomorrow at 10 AM.,0
Thanks for the help earlier! Really appreciate it.,0
Thanks for the help earlier! Really appreciate it.,0
Can you send me the project report when you get a chance?,0
I will call you back in 10 minutes.,0
"Dinner is ready, come downstairs.",0
See you tomorrow at the office!,0
I will call you back in 10 minutes.,0
See you tomorrow at the office!,0
Don't forget to buy milk on your way home.,0
I will call you back in 10 minutes.,0
"CONGRATS! You won a $1,000 Walmart gift card. Claim your prize here: http://bit.ly/claim-walmart-giftcard",1
Are you coming to the team meeting at 3 PM?,0
Thanks for the help earlier! Really appreciate it.,0
ALERT: Someone tried to access your Apple ID from an unknown device. Reset password immediately: http://apple-verify-login.com,1
See you tomorrow at the office!,0
URGENT: Your Chase bank account is suspended due to suspicious activity. Verify credentials now at http://chase-security-update.xyz/login,1
ALERT: Someone tried to access your Apple ID from an unknown device. Reset password immediately: http://apple-verify-login.com,1
I will call you back in 10 minutes.,0
I will call you back in 10 minutes.,0
Don't forget to buy milk on your way home.,0
Are you coming to the team meeting at 3 PM?,0
Are you coming to the team meeting at 3 PM?,0
Are you coming to the team meeting at 3 PM?,0
Can you send me the project report when you get a chance?,0
I will call you back in 10 minutes.,0
"Dinner is ready, come downstairs.",0
"Hey, are we still meeting for lunch today at 12:30?",0
"Dinner is ready, come downstairs.",0
Can you send me the project report when you get a chance?,0
See you tomorrow at the office!,0
Can you send me the project report when you get a chance?,0
SECURITY WARNING: Your account was logged in from Russia. Click http://account-security-alert.xyz to lock your account.,1
Your appointment with Dr. Smith is confirmed for tomorrow at 10 AM.,0
Thanks for the help earlier! Really appreciate it.,0
Happy birthday! Hope you have a great day ahead.,0
Are you coming to the team meeting at 3 PM?,0
"CONGRATS! You won a $1,000 Walmart gift card. Claim your prize here: http://bit.ly/claim-walmart-giftcard",1
Your appointment with Dr. Smith is confirmed for tomorrow at 10 AM.,0
I will call you back in 10 minutes.,0
Your appointment with Dr. Smith is confirmed for tomorrow at 10 AM.,0
Can you send me the project report when you get a chance?,0
Don't forget to buy milk on your way home.,0
Happy birthday! Hope you have a great day ahead.,0
Thanks for the help earlier! Really appreciate it.,0
See you tomorrow at the office!,0
Happy birthday! Hope you have a great day ahead.,0
"Dinner is ready, come downstairs.",0
Can you send me the project report when you get a chance?,0
"Hey, are we still meeting for lunch today at 12:30?",0
"Hey, are we still meeting for lunch today at 12:30?",0
"Hey, are we still meeting for lunch today at 12:30?",0
"Dinner is ready, come downstairs.",0
Happy birthday! Hope you have a great day ahead.,0
Don't forget to buy milk on your way home.,0
Happy birthday! Hope you have a great day ahead.,0
Are you coming to the team meeting at 3 PM?,0
See you tomorrow at the office!,0
Can you send me the project report when you get a chance?,0
Thanks for the help earlier! Really appreciate it.,0
"Hey, are we still meeting for lunch today at 12:30?",0
Your appointment with Dr. Smith is confirmed for tomorrow at 10 AM.,0
I will call you back in 10 minutes.,0
Don't forget to buy milk on your way home.,0
Your appointment with Dr. Smith is confirmed for tomorrow at 10 AM.,0
See you tomorrow at the office!,0
"Dinner is ready, come downstairs.",0
Happy birthday! Hope you have a great day ahead.,0
Don't forget to buy milk on your way home.,0
See you tomorrow at the office!,0
"Dinner is ready, come downstairs.",0
"CONGRATS! You won a $1,000 Walmart gift card. Claim your prize here: http://bit.ly/claim-walmart-giftcard",1
IRS Notification: You have a pending tax refund of $850. Click here to submit your bank details: http://irs-tax-refund-portal.info,1
"Hey, are we still meeting for lunch today at 12:30?",0
I will call you back in 10 minutes.,0
"Dinner is ready, come downstairs.",0
"Dinner is ready, come downstairs.",0
Happy birthday! Hope you have a great day ahead.,0
See you tomorrow at the office!,0
IRS Notification: You have a pending tax refund of $850. Click here to submit your bank details: http://irs-tax-refund-portal.info,1
Can you send me the project report when you get a chance?,0
Can you send me the project report when you get a chance?,0
"Hey, are we still meeting for lunch today at 12:30?",0
Wells Fargo: Your online access has been limited. Please confirm your SSN and PIN at http://wellsfargo-verify-login.org,1
Your appointment with Dr. Smith is confirmed for tomorrow at 10 AM.,0
I will call you back in 10 minutes.,0
"Dinner is ready, come downstairs.",0
Happy birthday! Hope you have a great day ahead.,0
"Dinner is ready, come downstairs.",0
I will call you back in 10 minutes.,0
I will call you back in 10 minutes.,0
Don't forget to buy milk on your way home.,0
See you tomorrow at the office!,0
Don't forget to buy milk on your way home.,0
I will call you back in 10 minutes.,0
Your appointment with Dr. Smith is confirmed for tomorrow at 10 AM.,0
See you tomorrow at the office!,0
"Hey, are we still meeting for lunch today at 12:30?",0
Don't forget to buy milk on your way home.,0
Job Offer: Work from home and earn $500/day! No experience needed. Apply now: http://easy-money-jobs.online,1
Thanks for the help earlier! Really appreciate it.,0
Happy birthday! Hope you have a great day ahead.,0
"Hey, are we still meeting for lunch today at 12:30?",0
Can you send me the project report when you get a chance?,0
"Hey, are we still meeting for lunch today at 12:30?",0
"Hey, are we still meeting for lunch today at 12:30?",0
Happy birthday! Hope you have a great day ahead.,0
"Hey, are we still meeting for lunch today at 12:30?",0
See you tomorrow at the office!,0
"Dinner is ready, come downstairs.",0
"Dinner is ready, come downstairs.",0
"Hey, are we still meeting for lunch today at 12:30?",0
See you tomorrow at the office!,0
"CONGRATS! You won a $1,000 Walmart gift card. Claim your prize here: http://bit.ly/claim-walmart-giftcard",1
Don't forget to buy milk on your way home.,0
Don't forget to buy milk on your way home.,0
Your appointment with Dr. Smith is confirmed for tomorrow at 10 AM.,0
