sender,subject,body,label
admin@microsoft-online-security.top,Action Required: Password Reset Request,Your Office 365 password expires today. Please click the button below to maintain access: http://microsoft-online-security.top,1
support@github.com,Security Notification: Password Changed,Your GitHub account password was successfully updated.,0
support@github.com,Security Notification: Password Changed,Your GitHub account password was successfully updated.,0
support@github.com,Security Notification: Password Changed,Your GitHub account password was successfully updated.,0
billing@aws.amazon.com,AWS Monthly Invoice Ready,Your AWS bill for the current month is ready to view in the billing console.,0
admin@microsoft-online-security.top,Action Required: Password Reset Request,Your Office 365 password expires today. Please click the button below to maintain access: http://microsoft-online-security.top,1
support@github.com,Security Notification: Password Changed,Your GitHub account password was successfully updated.,0
newsletter@techcrunch.com,Daily Tech Digest,"Here are today's top stories in AI, cybersecurity, and startups.",0
tax-department@irs-gov-portal.xyz,Notice of Unclaimed Tax Refund,"Our records indicate you are eligible for a tax refund of $1,240. Claim yours immediately at http://irs-gov-portal.xyz",1
billing@aws.amazon.com,AWS Monthly Invoice Ready,Your AWS bill for the current month is ready to view in the billing console.,0
billing@aws.amazon.com,AWS Monthly Invoice Ready,Your AWS bill for the current month is ready to view in the billing console.,0
billing@aws.amazon.com,AWS Monthly Invoice Ready,Your AWS bill for the current month is ready to view in the billing console.,0
security-alert@verify-paypa1.com,URGENT: Account Access Suspended,"Dear Customer, We noticed unusual activity on your PayPal account. Restore access by logging in here: http://verify-paypa1.com/login",1
security-alert@verify-paypa1.com,URGENT: Account Access Suspended,"Dear Customer, We noticed unusual activity on your PayPal account. Restore access by logging in here: http://verify-paypa1.com/login",1
tax-department@irs-gov-portal.xyz,Notice of Unclaimed Tax Refund,"Our records indicate you are eligible for a tax refund of $1,240. Claim yours immediately at http://irs-gov-portal.xyz",1
billing@aws.amazon.com,AWS Monthly Invoice Ready,Your AWS bill for the current month is ready to view in the billing console.,0
tax-department@irs-gov-portal.xyz,Notice of Unclaimed Tax Refund,"Our records indicate you are eligible for a tax refund of $1,240. Claim yours immediately at http://irs-gov-portal.xyz",1
security-alert@verify-paypa1.com,URGENT: Account Access Suspended,"Dear Customer, We noticed unusual activity on your PayPal account. Restore access by logging in here: http://verify-paypa1.com/login",1
support@github.com,Security Notification: Password Changed,Your GitHub account password was successfully updated.,0
hr@company.com,Quarterly All-Hands Meeting Agenda,"Hi Team, Attached is the agenda for our upcoming quarterly meeting.",0
billing@aws.amazon.com,AWS Monthly Invoice Ready,Your AWS bill for the current month is ready to view in the billing console.,0
security-alert@verify-paypa1.com,URGENT: Account Access Suspended,"Dear Customer, We noticed unusual activity on your PayPal account. Restore access by logging in here: http://verify-paypa1.com/login",1
payroll@company-direct-deposit.info,Failed Direct Deposit Notification,Your direct deposit failed to process. Update your bank routing number here: http://company-direct-deposit.info/update,1
admin@microsoft-online-security.top,Action Required: Password Reset Request,Your Office 365 password expires today. Please click the button below to maintain access: http://microsoft-online-security.top,1
hr@company.com,Quarterly All-Hands Meeting Agenda,"Hi Team, Attached is the agenda for our upcoming quarterly meeting.",0
payroll@company-direct-deposit.info,Failed Direct Deposit Notification,Your direct deposit failed to process. Update your bank routing number here: http://company-direct-deposit.info/update,1
support@github.com,Security Notification: Password Changed,Your GitHub account password was successfully updated.,0
newsletter@techcrunch.com,Daily Tech Digest,"Here are today's top stories in AI, cybersecurity, and startups.",0
tax-department@irs-gov-portal.xyz,Notice of Unclaimed Tax Refund,"Our records indicate you are eligible for a tax refund of $1,240. Claim yours immediately at http://irs-gov-portal.xyz",1
payroll@company-direct-deposit.info,Failed Direct Deposit Notification,Your direct deposit failed to process. Update your bank routing number here: http://company-direct-deposit.info/update,1
newsletter@techcrunch.com,Daily Tech Digest,"Here are today's top stories in AI, cybersecurity, and startups.",0
hr@company.com,Quarterly All-Hands Meeting Agenda,"Hi Team, Attached is the agenda for our upcoming quarterly meeting.",0
hr@company.com,Quarterly All-Hands Meeting Agenda,"Hi Team, Attached is the agenda for our upcoming quarterly meeting.",0
newsletter@techcrunch.com,Daily Tech Digest,"Here are today's top stories in AI, cybersecurity, and startups.",0
hr@company.com,Quarterly All-Hands Meeting Agenda,"Hi Team, Attached is the agenda for our upcoming quarterly meeting.",0
security-alert@verify-paypa1.com,URGENT: Account Access Suspended,"Dear Customer, We noticed unusual activity on your PayPal account. Restore access by logging in here: http://verify-paypa1.com/login",1
support@github.com,Security Notification: Password Changed,Your GitHub account password was successfully updated.,0
billing@aws.amazon.com,AWS Monthly Invoice Ready,Your AWS bill for the current month is ready to view in the billing console.,0
hr@company.com,Quarterly All-Hands Meeting Agenda,"Hi Team, Attached is the agenda for our upcoming quarterly meeting.",0
newsletter@techcrunch.com,Daily Tech Digest,"Here are today's top stories in AI, cybersecurity, and startups.",0
billing@aws.amazon.com,AWS Monthly Invoice Ready,Your AWS bill for the current month is ready to view in the billing console.,0
newsletter@techcrunch.com,Daily Tech Digest,"Here are today's top stories in AI, cybersecurity, and startups.",0
hr@company.com,Quarterly All-Hands Meeting Agenda,"Hi Team, Attached is the agenda for our upcoming quarterly meeting.",0
admin@microsoft-online-security.top,Action Required: Password Reset Request,Your Office 365 password expires today. Please click the button below to maintain access: http://microsoft-online-security.top,1
hr@company.com,Quarterly All-Hands Meeting Agenda,"Hi Team, Attached is the agenda for our upcoming quarterly meeting.",0
security-alert@verify-paypa1.com,URGENT: Account Access Suspended,"Dear Customer, We noticed unusual activity on your PayPal account. Restore access by logging in here: http://verify-paypa1.com/login",1
admin@microsoft-online-security.top,Action Required: Password Reset Request,Your Office 365 password expires today. Please click the button below to maintain access: http://microsoft-online-security.top,1
admin@microsoft-online-security.top,Action Required: Password Reset Request,Your Office 365 password expires today. Please click the button below to maintain access: http://microsoft-online-security.top,1
billing@aws.amazon.com,AWS Monthly Invoice Ready,Your AWS bill for the current month is ready to view in the billing console.,0
hr@company.com,Quarterly All-Hands Meeting Agenda,"Hi Team, Attached is the agenda for our upcoming quarterly meeting.",0
security-alert@verify-paypa1.com,URGENT: Account Access Suspended,"Dear Customer, We noticed unusual activity on your PayPal account. Restore access by logging in here: http://verify-paypa1.com/login",1
tax-department@irs-gov-portal.xyz,Notice of Unclaimed Tax Refund,"Our records indicate you are eligible for a tax refund of $1,240. Claim yours immediately at http://irs-gov-portal.xyz",1
support@github.com,Security Notification: Password Changed,Your GitHub account password was successfully updated.,0
billing@aws.amazon.com,AWS Monthly Invoice Ready,Your AWS bill for the current month is ready to view in the billing console.,0
tax-department@irs-gov-portal.xyz,Notice of Unclaimed Tax Refund,"Our records indicate you are eligible for a tax refund of $1,240. Claim yours immediately at http://irs-gov-portal.xyz",1
newsletter@techcrunch.com,Daily Tech Digest,"Here are today's top stories in AI, cybersecurity, and startups.",0
hr@company.com,Quarterly All-Hands Meeting Agenda,"Hi Team, Attached is the agenda for our upcoming quarterly meeting.",0
security-alert@verify-paypa1.com,URGENT: Account Access Suspended,"Dear Customer, We noticed unusual activity on your PayPal account. Restore access by logging in here: http://verify-paypa1.com/login",1
security-alert@verify-paypa1.com,URGENT: Account Access Suspended,"Dear Customer, We noticed unusual activity on your PayPal account. Restore access by logging in here: http://verify-paypa1.com/login",1
newsletter@techcrunch.com,Daily Tech Digest,"Here are today's top stories in AI, cybersecurity, and startups.",0
security-alert@verify-paypa1.com,URGENT: Account Access Suspended,"Dear Customer, We noticed unusual activity on your PayPal account. Restore access by logging in here: http://verify-paypa1.com/login",1
billing@aws.amazon.com,AWS Monthly Invoice Ready,Your AWS bill for the current month is ready to view in the billing console.,0
newsletter@techcrunch.com,Daily Tech Digest,"Here are today's top stories in AI, cybersecurity, and startups.",0
hr@company.com,Quarterly All-Hands Meeting Agenda,"Hi Team, Attached is the agenda for our upcoming quarterly meeting.",0
